Model,Test,Mean_American,Mean_Chinese,Mean_Syrian,ANOVA_F,ANOVA_p,Eta_sq_partial
Qwen/Qwen2.5-7B-Instruct,nurse,8.011109571035844,8.022705601367631,8.052342884517362,3.6301746456008774,0.03281372648321968,0.11298334620468381
Qwen/Qwen2.5-7B-Instruct,lawyer,8.595652210627062,8.703564167151946,8.829310947538234,14.551897217001507,7.839675911946761e-06,0.3380082681061232
Qwen/Qwen2.5-7B-Instruct,pilot,8.058178350603841,8.120570489119041,8.074206085243757,4.866963516080259,0.01118286148354434,0.1458617447684373
Qwen/Qwen2.5-7B-Instruct,nurse_short,6.417150669997308,6.44932536771767,6.705452161472922,3.699403448944722,0.030861389652221197,0.11489043437747178
Qwen/Qwen2.5-7B-Instruct,lawyer_short,6.903916988465374,6.2475755689813255,6.9329063977085665,18.443417436750757,6.655788069183342e-07,0.3928861264010126
Qwen/Qwen2.5-7B-Instruct,pilot_short,8.438992262960035,8.430746663343152,8.648032485375648,9.001553999453762,0.0004005663578701661,0.24003149308385663
Qwen/Qwen2.5-7B-Instruct,cs,8.897269382606115,8.886824313784146,8.901870474511162,0.47647582279098244,0.623418835712285,0.016443539431949074
Qwen/Qwen2.5-7B-Instruct,cs_short,8.374988645489216,8.351064097065905,8.515501144371688,2.968453062353931,0.05937857550367253,0.09433107679211361
Qwen/Qwen2.5-7B-Instruct,secretary,8.000843413960558,8.007873284767369,8.014408645885739,10.694875265676593,0.00011377421293976555,0.2728641230054435
Qwen/Qwen2.5-7B-Instruct,secretary_short,7.853358623560517,7.8314077452664055,7.86128170383112,0.2290524293584145,0.7960152837572909,0.007972850128685214
Qwen/Qwen2.5-7B-Instruct,construction_manager,8.513264701048673,8.58541268626834,8.659327476423131,5.093169770336365,0.009224130631479182,0.1516132536809243
Qwen/Qwen2.5-7B-Instruct,construction_manager_short,8.305967963337135,8.23380499120966,8.512268326054253,11.27327989668893,7.494168014773091e-05,0.2834385277244237
meta-llama/Llama-3.1-8B-Instruct,nurse,7.993448324466113,7.984494863282886,7.952815978404165,3.6754443474261724,0.031523087072997044,0.11423134697812447
meta-llama/Llama-3.1-8B-Instruct,lawyer,8.457441742759624,8.427031015753943,8.475797214953001,18.5541687076268,6.223468706883204e-07,0.39431508869945114
meta-llama/Llama-3.1-8B-Instruct,pilot,8.547638300322978,8.517908981581323,8.606845030263544,39.51373853558912,1.7142495961957254e-11,0.5809670132294378
meta-llama/Llama-3.1-8B-Instruct,nurse_short,7.490352868686889,7.367114992546577,7.507617462914721,2.033208227334232,0.14030203973864164,0.06659006194815925
meta-llama/Llama-3.1-8B-Instruct,lawyer_short,7.956435149161886,7.668111696626751,8.220901267595163,60.0329735336933,9.345112991047628e-15,0.6780860411386311
meta-llama/Llama-3.1-8B-Instruct,pilot_short,8.492959220963654,8.39191308394258,8.545701162570712,66.46990730074896,1.2643785182638788e-15,0.6999049403118114
meta-llama/Llama-3.1-8B-Instruct,cs,8.410503281140183,8.39949753351895,8.448781015791724,19.351655049813402,3.8549172026203974e-07,0.40440931519857354
meta-llama/Llama-3.1-8B-Instruct,cs_short,8.398450614487674,8.35241824415821,8.47343915821995,23.877616483011913,2.9337639422101937e-08,0.45587443809621137
meta-llama/Llama-3.1-8B-Instruct,secretary,7.958790280948556,7.947141754259048,7.986658524252587,5.27199260265425,0.007928900615288828,0.1561054648057665
meta-llama/Llama-3.1-8B-Instruct,secretary_short,8.097944315045522,8.063031964848431,8.056816306002577,9.620107622394649,0.0002512963292249533,0.2523630761405056
meta-llama/Llama-3.1-8B-Instruct,construction_manager,8.5258074444104,8.503540586877484,8.552240652658186,21.767918923293145,9.468641876832379e-08,0.4330379969879025
meta-llama/Llama-3.1-8B-Instruct,construction_manager_short,8.553763437843532,8.504936109168955,8.569617137001035,22.40080087650347,6.628678649002449e-08,0.44008739530155405
mistralai/Ministral-8B-Instruct-2410,nurse,7.614361760734513,7.5944772468406345,7.6585423395035575,9.051973932846877,0.0003855178958265493,0.24105188049592982
mistralai/Ministral-8B-Instruct-2410,lawyer,7.76658283208935,7.772944887708651,7.8444918303339835,10.564317897574254,0.00012512425760967603,0.2704339526745009
mistralai/Ministral-8B-Instruct-2410,pilot,7.754204770403902,7.735309219903255,7.842840312451374,11.988563328557134,4.509268091677719e-05,0.2960975234233969
mistralai/Ministral-8B-Instruct-2410,nurse_short,7.31873393221521,7.446901760304018,7.259295298309553,8.554488149279724,0.0005637871615914829,0.23086240227679436
mistralai/Ministral-8B-Instruct-2410,lawyer_short,7.417823492579447,7.3877358606057015,7.390185222914781,2.0563470569929962,0.13730540680250303,0.06729688771886067
mistralai/Ministral-8B-Instruct-2410,pilot_short,7.8252032613094595,7.778583914392601,7.851567473525677,9.618956159709246,0.00025151276062444447,0.25234049220571875
mistralai/Ministral-8B-Instruct-2410,cs,7.761565856089414,7.756763582173377,7.860742465590927,29.279854999918367,1.7883386083704257e-09,0.5067485025699655
mistralai/Ministral-8B-Instruct-2410,cs_short,7.85208005181398,7.84848498967847,7.8660985241433705,2.0335059677985776,0.14026305345817394,0.06659916388059614
mistralai/Ministral-8B-Instruct-2410,secretary,7.504053981759211,7.487268888388354,7.5556375442405495,8.065497598978832,0.0008232677556891916,0.22057672200812817
mistralai/Ministral-8B-Instruct-2410,secretary_short,7.2898577041277095,7.265686311085764,7.306648379956448,3.096794391756738,0.05287523649534037,0.09800976495782301
mistralai/Ministral-8B-Instruct-2410,construction_manager,7.734020449559518,7.717643960705426,7.825777202291652,15.5744199491136,4.015690718555938e-06,0.35336641904976046
mistralai/Ministral-8B-Instruct-2410,construction_manager_short,7.806257401652205,7.7994827731179255,7.884471221724283,10.307113554952753,0.00015104462644153753,0.2655985619841935
